========================================
     INFORME COMPLETO ICE CREAM         
     Fecha: 2026-05-14T16:38:38.195156200
========================================

--- ALMACEN (16 helados) ---
• coconut | Sabor: coco | Precio: $4000.0 | Unidades: 12
• nutella kids | Sabor: nutella | Precio: $4500.0 | Unidades: 12
• dracula | Sabor: fresa | Precio: $7000.0 | Unidades: 5
• duraznoMagico | Sabor: durazno | Precio: $3300.0 | Unidades: 21
• moraCielo | Sabor: mora | Precio: $2500.0 | Unidades: 3
• mentaFresca | Sabor: menta | Precio: $2600.0 | Unidades: 19
• carameloCremoso | Sabor: caramelo | Precio: $3100.0 | Unidades: 4
• coco vegano | Sabor: coco | Precio: $11000.0 | Unidades: 8
• paleta tropical | Sabor: maracuya | Precio: $2800.0 | Unidades: 10
• vainillaDeluxe | Sabor: vainilla | Precio: $3000.0 | Unidades: 24
• fresaPasion | Sabor: fresa | Precio: $3000.0 | Unidades: 4
• Fresa Explosiva | Sabor: fresa | Precio: $2000.0 | Unidades: 10
• mango | Sabor: mango | Precio: $2800.0 | Unidades: 9
• limonVerano | Sabor: limon | Precio: $2500.0 | Unidades: 26
• cafe valdez | Sabor: cafe | Precio: $9500.0 | Unidades: 0
• chococono | Sabor: chocolate | Precio: $3500.0 | Unidades: 10

--- HELADERIA (15 helados) ---
• vainillaDeluxe | Sabor: vainilla | Precio: $3000.0 | Unidades: 8
• carameloCremoso | Sabor: caramelo | Precio: $3100.0 | Unidades: 19
• chococono | Sabor: chocolate | Precio: $3500.0 | Unidades: 5
• nutella kids | Sabor: nutella | Precio: $4500.0 | Unidades: 7
• paleta tropical | Sabor: maracuya | Precio: $2800.0 | Unidades: 6
• moraCielo | Sabor: mora | Precio: $2500.0 | Unidades: 8
• duraznoMagico | Sabor: durazno | Precio: $3300.0 | Unidades: 13
• mentaFresca | Sabor: menta | Precio: $2600.0 | Unidades: 10
• coconut | Sabor: coco | Precio: $4000.0 | Unidades: 7
• cafe valdez | Sabor: cafe | Precio: $9500.0 | Unidades: 6
• dracula | Sabor: fresa | Precio: $7000.0 | Unidades: 8
• fresaPasion | Sabor: fresa | Precio: $3000.0 | Unidades: 3
• mango | Sabor: mango | Precio: $2800.0 | Unidades: 15
• coco vegano | Sabor: coco | Precio: $11000.0 | Unidades: 19
• Fresa Explosiva | Sabor: fresa | Precio: $2000.0 | Unidades: 0

--- VENTAS (20011 registros) ---
• Fecha: 2026-04-22T19:11:10.542 | Vendedor: danilo | Total: $8000.0 | Pago: efectivo
